Temperature	Velocity	Geometry	Density	Stiffness	Failure_Strain	Failure_Load
44	0.220	Square	0.98	4054	112.35	405.46
64	0.120	Rectangular	1.2	4678	144.36	464.22
-9	0.146	Rectangular	0.53	4933	77.67	488.4
-7	0.061	Square	0.92	3432	87.37	338.98
35	0.095	Rectangular	1.18	4539	122.19	456.47
8	0.108	Rectangular	1.42	3250	96.3	328.65
46	0.321	Rectangular	1.32	3430	99.13	347.62
44	0.317	Round	1.12	4237	98.36	422.72
65	0.276	Square	0.82	3818	119.5	386.12
9	0.275	Square	0.61	3481	78.99	343.24
25	0.167	Round	0.66	3212	104.15	323.55
69	0.300	Rectangular	0.53	3683	118.29	368.05
10	0.239	Rectangular	1.03	3705	83.71	369.85
49	0.267	Rectangular	1.11	3423	109.2	341.33
65	0.055	Round	0.66	3819	155.93	384.67
40	0.272	Square	0.99	3363	101.97	339.38
35	0.253	Square	0.57	4846	100.83	487.56
23	0.345	Rectangular	1.33	4592	80.51	457.14
-16	0.247	Round	1.42	4897	63.25	490.75
-14	0.244	Rectangular	0.87	3869	65.05	390
-10	0.181	Rectangular	0.95	3743	73.67	379.28
67	0.161	Round	1.24	3118	140.18	315.26
42	0.333	Round	1.15	3571	94.78	358.29
-26	0.299	Square	1.13	4503	51.88	449.9
19	0.196	Round	0.79	3887	95.66	391.52
32	0.323	Square	1.02	4939	89.31	491.31
42	0.099	Rectangular	1.47	4299	127.93	434.85
14	0.224	Round	1.46	3717	88.44	372.63
51	0.114	Rectangular	1.02	4058	133.73	402.66
32	0.293	Square	1.47	4659	93.37	465.4
-2	0.231	Round	1.14	3405	75.31	341.4
24	0.227	Rectangular	1.45	3589	95.9	359.45
26	0.256	Round	1.1	4336	93.74	435.42
20	0.290	Round	1.09	3337	85.25	331.97
47	0.123	Rectangular	0.83	4022	128.97	401.21
-10	0.223	Rectangular	0.66	3875	69.95	388.74
58	0.118	Round	0.87	3588	139.31	359.33
23	0.084	Square	1.42	4453	112.66	440.85
65	0.081	Square	1.21	3112	151.62	308.63
52	0.278	Rectangular	1	4406	109.77	439.43
62	0.094	Round	0.68	4934	146.76	493.71
19	0.139	Square	1.01	3325	102.44	336.78
42	0.183	Round	0.66	3088	116.07	303.88
16	0.334	Square	1.4	3638	77.21	368.71
-4	0.301	Rectangular	0.58	3749	67.08	374.05
-24	0.130	Round	1.3	3908	66.15	388.42
-17	0.098	Round	1.4	4002	74.85	398.01
22	0.277	Round	1.11	3594	88.19	356.37
42	0.205	Square	0.51	3500	112.9	346.74
65	0.272	Round	0.7	3899	120.05	393.67
-16	0.062	Rectangular	1.05	4463	78.82	450.32
17	0.137	Rectangular	1.49	4243	101.03	426.2
64	0.243	Round	0.57	4018	124.07	397.98
49	0.060	Square	0.8	3034	140.04	299.06
54	0.155	Rectangular	0.6	3746	130.17	372.08
9	0.310	Round	1.02	4906	75.16	492.89
-17	0.135	Rectangular	0.5	4974	71.82	492.8
15	0.233	Rectangular	0.87	3045	88.23	301.93
52	0.089	Rectangular	0.89	3622	138.47	360.41
-5	0.209	Round	1.31	4031	75.11	400.36
54	0.066	Rectangular	1.05	4704	143.87	472.33
-29	0.334	Rectangular	1.33	4028	47.32	406.91
-15	0.116	Round	0.67	4621	75.1	464.91
-6	0.321	Rectangular	1.45	4039	63.79	402.66
41	0.192	Round	0.66	4366	113.86	433.98
4	0.141	Rectangular	0.54	3643	89.38	361.12
-18	0.265	Rectangular	0.85	4915	60.23	496.49
38	0.187	Round	1.03	4954	112.19	498.31
-5	0.252	Rectangular	0.96	3095	71.07	306.87
-16	0.149	Round	1.18	3027	71.44	300.12
45	0.286	Round	1.01	4360	103.59	432.74
49	0.189	Rectangular	0.65	3029	120.86	305.58
-2	0.297	Rectangular	1.13	3352	68.88	331.9
17	0.268	Rectangular	1.16	4449	85.67	441.72
-5	0.324	Rectangular	0.54	3668	64.21	369.39
24	0.348	Rectangular	0.51	4102	80.86	411.05
23	0.182	Rectangular	0.99	3356	100.66	335.04
8	0.107	Square	0.75	4671	96.46	462.5
-25	0.272	Round	1.07	4696	54.57	472.42
-5	0.254	Round	1.42	3857	70.84	386.88
3	0.156	Square	0.65	3569	86.96	361.08
-10	0.254	Round	1.2	4159	67.18	417.74
43	0.341	Round	1.41	3100	94.25	308.08
-3	0.349	Round	0.72	4588	63.13	454.16
69	0.264	Rectangular	1.5	4193	124.43	421.8
26	0.146	Round	0.5	3846	107.65	385.16
37	0.310	Round	1.24	4493	94.58	451.94
-18	0.348	Round	0.5	4166	53.43	419.5
-30	0.328	Round	0.88	3891	47.01	392.1
18	0.349	Rectangular	0.63	3114	76.86	307.25
7	0.208	Square	1.32	3197	84.76	314.86
55	0.344	Round	1.43	3594	101.65	359.33
20	0.332	Square	1.46	4143	80.14	419.27
22	0.274	Rectangular	1.48	4819	88.53	484.87
-21	0.316	Square	1.38	4634	54.07	467.09
-9	0.175	Rectangular	0.62	3508	75.11	348.15
57	0.065	Round	0.52	3461	146.81	350.89
-8	0.231	Round	0.73	4549	70.74	458.58
59	0.312	Square	1.16	3461	109.45	341.36
-18	0.267	Square	0.98	3557	60.12	352.87
6	0.331	Round	1.41	4577	70.96	453.8
34	0.247	Square	0.67	4821	100.87	479.09
61	0.106	Square	1.14	3587	143.98	363.54
34	0.278	Square	1.04	4929	96.79	490.7
-19	0.165	Square	1.33	4270	67.63	425.81
-15	0.080	Round	1.18	4255	78.22	427.93
-12	0.276	Round	1.05	4031	63.75	406.75
34	0.297	Round	0.82	4626	94.25	465.85
24	0.137	Square	1.43	3925	107.06	395.33
-6	0.198	Square	0.62	3726	75.39	374.07
60	0.201	Rectangular	0.74	3483	127.83	347.73
57	0.242	Square	0.58	4495	118.95	451.51
14	0.102	Round	1.32	4885	102.42	486.81
32	0.192	Rectangular	0.65	3583	106.67	360.82
-17	0.242	Square	0.81	4082	62.95	410.57
12	0.315	Square	1.31	4077	76.69	403.52
-12	0.288	Rectangular	0.65	4429	62.7	440.98
50	0.201	Rectangular	0.55	3574	119.82	357.41
24	0.314	Rectangular	1.32	3243	85.1	328.02
-11	0.266	Rectangular	1.03	3320	65.33	328.07
-2	0.200	Square	0.68	3689	78.42	369.77
62	0.172	Round	1.13	3440	134.21	347.88
-27	0.260	Rectangular	0.95	3914	54.01	392.4
48	0.182	Round	0.64	4832	121.07	484.04
13	0.096	Rectangular	1.11	3258	102.17	327.65
-17	0.226	Round	0.83	3548	64.27	354.49
69	0.307	Rectangular	0.77	3340	117.2	337.18
0	0.111	Rectangular	1.14	3720	88.92	373.64
5	0.107	Round	1.06	3096	93.79	307.97
58	0.268	Round	1.42	3801	115.63	383.54
12	0.328	Round	0.62	4277	75.31	431.51
41	0.087	Round	0.97	4673	128.7	466.77
22	0.165	Round	0.59	3622	101.82	357.63
3	0.083	Square	1.26	4864	94.42	490.05
5	0.315	Rectangular	0.5	4602	71.93	462.47
33	0.280	Rectangular	1.42	4892	95.7	488.44
19	0.113	Rectangular	0.94	4119	105.54	412.98
23	0.241	Rectangular	1.05	3632	93.41	364.13
-3	0.227	Round	0.74	4518	74.97	449.29
-28	0.200	Square	0.87	3044	57.62	303.32
47	0.089	Round	1.17	4359	133.99	433.3
-14	0.078	Round	0.98	3000	79.28	301.93
60	0.092	Square	0.95	4539	145.26	449.83
-9	0.140	Rectangular	0.99	4243	78.25	425.01
49	0.220	Rectangular	1.13	3584	116.2	357.84
-28	0.284	Round	1.25	3621	51.57	365.4
33	0.105	Round	0.8	3320	118.99	333.53
68	0.158	Square	1.28	3012	141.52	303.72
53	0.135	Rectangular	1.3	4196	132.37	417.91
-13	0.069	Round	0.62	3563	80.99	356.55
-14	0.074	Round	0.81	3332	79.68	336.8
-20	0.285	Rectangular	1.48	4886	57.23	492.78
-22	0.191	Rectangular	1.25	4003	63.14	399.42
-10	0.284	Round	1.26	4247	64.47	424.3
59	0.117	Round	0.63	4718	140.46	471.82
22	0.236	Round	0.86	4262	93.16	422.17
3	0.159	Square	0.6	4795	86.58	483.79
58	0.073	Round	0.89	3057	146.45	303.9
53	0.297	Round	1.5	4982	107.54	500.81
39	0.216	Rectangular	1.15	4892	108.96	486.86
46	0.291	Rectangular	0.82	3859	103.47	382.54
-6	0.275	Rectangular	0.62	4259	68.18	427.31
9	0.253	Rectangular	0.62	4565	81.38	458.63
-2	0.107	Rectangular	0.91	4482	87.54	445.27
28	0.308	Rectangular	1.37	4123	88.57	412.36
44	0.218	Round	0.62	4166	112.57	416.01
61	0.337	Round	0.83	4374	106.71	438.71
-24	0.071	Rectangular	0.81	3241	70.59	320.24
-3	0.109	Round	1.18	4799	86.44	475.23
-13	0.214	Round	1.08	3891	68.35	392.9
-21	0.221	Round	1.18	3285	61.54	328.56
-26	0.147	Round	0.85	4157	63.09	413.43
4	0.243	Rectangular	0.56	3892	78.77	389.93
69	0.263	Rectangular	0.62	4825	124.54	483.48
-5	0.237	Round	1.34	3399	72.44	343.35
-17	0.113	Rectangular	1.19	4476	73.65	442.77
-29	0.197	Square	1.38	3445	57.03	343.78
59	0.293	Square	0.64	3720	112.45	371.98
-20	0.220	Square	0.97	4489	62.38	451.59
54	0.282	Rectangular	1.18	4642	110.63	466.79
-25	0.312	Square	0.76	4283	51.61	423.52
-3	0.244	Rectangular	1.28	4822	73.35	483.49
65	0.216	Rectangular	1.17	4527	129.31	454.47
-16	0.152	Rectangular	0.5	3286	71.2	327.94
18	0.178	Square	1.05	4069	97.05	402.79
54	0.283	Square	1.29	4244	110.43	421.18
37	0.339	Rectangular	0.87	4549	90.59	455.21
51	0.287	Square	1.14	3864	107.68	381.59
42	0.306	Square	0.69	4301	98.55	430.08
19	0.286	Rectangular	0.86	4531	84.98	451.02
19	0.153	Round	0.8	3755	100.79	373.35
18	0.247	Square	1.01	3159	88.82	317.52
44	0.211	Rectangular	0.98	3789	113.67	383.23
59	0.056	Round	0.92	3319	150.04	336.88
46	0.304	Square	1.42	4642	101.61	467.88
2	0.169	Round	0.85	4913	84.8	490.69
33	0.225	Rectangular	1.04	4486	103.12	447.99
36	0.291	Rectangular	0.75	4015	96.38	401.49
8	0.190	Rectangular	1.16	3153	87.5	315.84
61	0.284	Rectangular	0.72	4285	115.35	428.22

